NºBorough,Borough,NºNeighbourhood,Neighbourhood,latitude,longitude,Population,RFD,0-14years,15-29years,30-44years,45-59years,60-74years,75-89years,>=90years,can work population,unemployement rate,Venue count
3,Sants-Montjuïc,11,Poble Sec,0.9977213355135274,0.9749125572271083,0.689188723462917,0.33038585209003213,0.593453695285102,0.651897514929686,0.8095728608707595,0.6498060634845246,0.47802249740051045,0.5313503464593544,0.43755958055290756,0.7469992205767731,0.6279069767441862,0.0
3,Sants-Montjuïc,12,La Marina del Prat Vermell,0.9973384727065758,0.9676774652967318,0.02060931899641577,0.1607717041800643,0.01987271074165476,0.018686187632440763,0.019983518747424805,0.020818491253067364,0.016731260043482372,0.01723846543856684,0.015252621544327931,0.021953754221875812,0.9883720930232559,0.0
3,Sants-Montjuïc,13,La Marina de Port,0.9974941371110502,0.965539044296283,0.5334642955610698,0.2785369774919614,0.534484998051695,0.5027932960893855,0.4331135832989974,0.5787223937307053,0.4476793647792797,0.49907047490282236,0.30123927550047663,0.5388932190179268,0.6395348837209303,0.0
3,Sants-Montjuïc,14,La Font de la Guatlla,0.9977470299680207,0.9687422040027978,0.17688516680452165,0.3331993569131833,0.13170541628782959,0.16152957041032556,0.16515588518060706,0.1720098155624159,0.16816334247093298,0.17458171370627007,0.1754051477597712,0.17843595739153026,0.6569767441860466,0.16666666666666666
3,Sants-Montjuïc,15,Hostafrancs,0.9978508617072077,0.9679552585702048,0.2759511993382961,0.39790996784565913,0.23509546694375894,0.2542862646888846,0.29865403103969235,0.24831789756985673,0.24473012572076755,0.21717086361331756,0.19447092469018112,0.2908028059236165,0.4825581395348838,0.0
3,Sants-Montjuïc,16,La Bordeta,0.9977074608939761,0.9654437815298189,0.3333677970774745,0.317524115755627,0.29536303416028054,0.27518782508187245,0.30984754841367945,0.3213013535977203,0.32564514604404954,0.3224607064390739,0.27740705433746427,0.3307872174590803,0.5,0.0
3,Sants-Montjuïc,17,Sants-Badal,0.9978599852402796,0.9610787232259795,0.41894127377998347,0.3255627009646302,0.34978568645278607,0.36534386438065886,0.3988463123197363,0.39388902081849125,0.4130825219775026,0.3939496366401893,0.32507149666348906,0.4296700441673162,0.3953488372093023,0.08333333333333333
3,Sants-Montjuïc,18,Sants,0.997856676361777,0.9643318857217196,0.7238247863247863,0.39790996784565913,0.6243668008832316,0.6456366788672703,0.7341711303392391,0.6760072825140505,0.619907363644957,0.6859895217170864,0.6167778836987607,0.7723304754481684,0.4302325581395349,0.16666666666666666
4,Les Corts,19,Les Corts,0.9980958031265525,0.9634063146702176,0.7973876481940998,0.4823151125401929,0.7259384335628004,0.6585436332113273,0.6648811976376872,0.7063247051373387,0.8761697702996503,0.8747676187257056,0.7607244995233555,0.7387373343725643,0.4534883720930233,0.08333333333333333
4,Les Corts,20,La Maternitat i Sant Ramon,0.9980194143381519,0.9600730212367312,0.41073890267438656,0.45900321543408357,0.3740745551370308,0.34270853400115586,0.34047520944925147,0.3591387635557666,0.4502315908876075,0.4657765759675511,0.36606291706387034,0.37731878409976616,0.4476744186046512,0.16666666666666666
4,Les Corts,21,Pedralbes,0.99821388330174,0.9540812235912888,0.20443893024538184,1.0,0.2402909468762177,0.1942785590445001,0.14105205328938333,0.18689147470909523,0.18725777483694112,0.2303532195369275,0.22688274547187798,0.1819173811379579,0.22093023255813954,0.0
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",0.9988150597382802,0.9519421702159085,0.08095533498759305,0.5791800643086816,0.10897519158332251,0.07329994220766711,0.06201071281417388,0.09388110504234941,0.06493997542300785,0.04647625485888119,0.044804575786463297,0.08041049623278773,0.23255813953488372,0.0
5,Sarrià-Sant Gervasi,23,Sarrià,0.998436554907607,0.9582795155917686,0.4290908464295561,0.7781350482315113,0.5733212105468243,0.39308418416490076,0.3141052053289383,0.40964141534077414,0.3436997825881463,0.4142301842149738,0.5433746425166825,0.3914523252792933,0.23255813953488372,0.0
5,Sarrià-Sant Gervasi,24,Las Tres Torres,0.9984187805383923,0.9621593616446084,0.2858939895230218,0.867363344051447,0.3690089622028835,0.2879984588711231,0.1902897953577805,0.2827515237869073,0.23754608186028925,0.2690552644921413,0.2974261201143947,0.26006755001299037,0.27906976744186046,0.3333333333333333
5,Sarrià-Sant Gervasi,25,Sant Gervasi-Bonanova,0.9985959671234462,0.9636511341079778,0.4466328921974083,0.7419614147909968,0.5333160150668919,0.4399922943556155,0.31678340887240763,0.42547296762447556,0.3869930995368182,0.4416089234409329,0.5243088655862727,0.4162120031176929,0.2732558139534884,0.0
5,Sarrià-Sant Gervasi,26,Sant Gervasi-Galvany,0.9983987837700957,0.9681594202210055,0.8200303280948442,0.7721061093247588,0.8975191583322509,0.8046619148526295,0.5972393901936547,0.8161165202248081,0.6938273938935627,0.8451918201791448,0.9304099142040038,0.7780462457781242,0.2732558139534884,0.25
