NºBorough,Borough,NºNeighbourhood,Neighbourhood,latitude,longitude,Population,RFD,0-14years,15-29years,30-44years,45-59years,60-74years,75-89years,>=90years,can work population,unemployement rate,Venue count
9,Sant Andreu,58,Baró de Viver,41.446124,2.198391,2597,68.9,425,442,573,576,362,190,29,1755,8.3,0.0
9,Sant Andreu,59,El Buen Pastor,41.4347743,2.20460145050458,13084,65.1,2264,2077,2955,2959,1662,1046,121,9014,9.2,0.0
9,Sant Andreu,60,San Andrés,41.439777,2.190852,57843,77.7,7699,7871,12956,12633,10579,5351,754,37215,9.1,2.0
9,Sant Andreu,61,La Sagrera,41.4237499,2.189582,29353,77.1,3514,4202,6547,5948,5761,2960,421,18540,8.7,2.0
9,Sant Andreu,62,Congrés i els Indians,41.42378400000001,2.180821600067076,14483,75.1,1798,2186,3239,3274,2057,1607,322,9638,8.1,0.0
9,Sant Andreu,63,Navas,41.418463,2.185856,22176,81.6,2537,3338,4844,4793,3910,2388,366,14407,8.4,1.0
10,Sant Martí,64,El Camp de l'Arpa del Clot,41.4107542,2.1828156,38663,81.7,4206,5774,9649,7764,6793,3821,656,25714,9.0,0.0
10,Sant Martí,65,El Clot,41.4099525,2.1908234,27041,83.6,3377,4235,6115,6011,4742,2215,346,18009,8.8,2.0
10,Sant Martí,66,El Parc i la Llacuna del Poblenou,41.4007334,2.191342,15461,100.4,1926,2430,4108,2973,2534,1293,197,10685,7.3,0.0
10,Sant Martí,67,La Vila Olímpica del Poblenou,41.3898682,2.1968459,9261,164.2,1365,1717,1749,2351,1590,433,56,6471,8.1,0.0
10,Sant Martí,68,Poble Nou,41.400527,2.2017292,33861,99.9,5288,4592,8856,7880,4318,2439,488,23221,7.8,5.0
10,Sant Martí,69,Diagonal Mar i Front Marítim del Poblenou,41.4052285,2.2133522,13501,150.1,2542,1529,3595,3229,1580,924,102,8766,10.0,1.0
10,Sant Martí,70,El Besòs i el Maresme,41.4149787,2.2138765,24673,60.4,3657,4318,5967,5093,3286,2079,273,17383,11.5,0.0
10,Sant Martí,71,Provençals del Poblenou,41.4119484,2.2041249,21002,102.3,3008,3068,5159,4811,3074,1675,207,14391,8.7,1.0
10,Sant Martí,72,Sant Martí de Provençals,41.4165186,2.1989683,26061,67.4,3090,3660,5377,5749,4422,3340,423,16235,10.5,0.0
10,Sant Martí,73,La Verneda i la Pau,41.4232198,2.202940152045822,28791,57.0,3456,4173,5760,6103,5179,3695,425,17602,10.9,1.0
