Neighbourhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Poble Nou,Mediterranean Restaurant,Spanish Restaurant,Bakery,Italian Restaurant,Restaurant,Pizza Place,Plaza,Gastropub,Indian Restaurant,Café
Poble Sec,Mediterranean Restaurant,Pizza Place,Plaza,Spanish Restaurant,Park,Theater,Café,Garden,Italian Restaurant,Restaurant
Porta,Grocery Store,Clothing Store,Japanese Restaurant,Diner,Tapas Restaurant,Restaurant,Bookstore,Spanish Restaurant,Public Art,Bakery
Provençals del Poblenou,Café,Spanish Restaurant,Asian Restaurant,Falafel Restaurant,Liquor Store,Bistro,Garden Center,Recreation Center,Steakhouse,Sports Club
Sagrada Familia,Burger Joint,Bakery,Pizza Place,Wine Bar,Plaza,Italian Restaurant,Restaurant,Hotel,Japanese Restaurant,Mexican Restaurant
San Andrés,Spanish Restaurant,Plaza,Supermarket,Bakery,Restaurant,Park,Pizza Place,Japanese Restaurant,Mexican Restaurant,Tapas Restaurant
Sant Antoni,Café,Cocktail Bar,Coffee Shop,Italian Restaurant,Mediterranean Restaurant,Spanish Restaurant,Bar,Bookstore,Beer Bar,Theater
Sant Genís dels Agudells,Tapas Restaurant,Farmers Market,Tennis Court,Fish & Chips Shop,Fabric Shop,Falafel Restaurant,Farm,Fast Food Restaurant,Filipino Restaurant,Yoga Studio
Sant Gervasi-Bonanova,Mediterranean Restaurant,Spanish Restaurant,Bar,Japanese Restaurant,Bakery,Pizza Place,Café,Plaza,Seafood Restaurant,Supermarket
Sant Gervasi-Galvany,Mediterranean Restaurant,Deli / Bodega,Café,Sandwich Place,Spanish Restaurant,Japanese Restaurant,Grocery Store,Italian Restaurant,Hotel,Tapas Restaurant
Sant Martí de Provençals,Spanish Restaurant,Supermarket,Pizza Place,Bakery,Coffee Shop,Grocery Store,Platform,Tapas Restaurant,Tennis Court,Soccer Field
"Sant Pere, Santa Caterina i la Ribera",Hotel,Tapas Restaurant,Japanese Restaurant,Bistro,Café,Breakfast Spot,Accessories Store,Burger Joint,Spanish Restaurant,Dessert Shop
Sants,Hostel,Mediterranean Restaurant,Plaza,Middle Eastern Restaurant,Bar,Park,Concert Hall,Cocktail Bar,Restaurant,Ethiopian Restaurant
Sants-Badal,Tapas Restaurant,Pizza Place,Bakery,Restaurant,Supermarket,Mexican Restaurant,Café,Hostel,Mediterranean Restaurant,Cheese Shop
Sarrià,Bakery,Breakfast Spot,Café,Pedestrian Plaza,Dessert Shop,Market,Mediterranean Restaurant,Tapas Restaurant,Restaurant,Diner
Torre Baró,Train Station,Metro Station,Yoga Studio,Fish & Chips Shop,Fabric Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Filipino Restaurant
Turó de la Peira,Bar,Burger Joint,Café,Park,German Restaurant,Farmers Market,Grocery Store,Food,Restaurant,Flea Market
Vallbona,Plaza,Park,Filipino Restaurant,Event Space,Fabric Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Fish & Chips Shop
Vallcarca i els Penitents,Café,Hotel,Bakery,Grocery Store,Park,Plaza,Supermarket,Pizza Place,Bus Stop,Burger Joint
"Vallvidrera, el Tibidabo i les Planes",Plaza,Ice Cream Shop,Building,Convenience Store,National Park,Soccer Field,Light Rail Station,BBQ Joint,Farmers Market,Fast Food Restaurant
Verdún,Spanish Restaurant,Grocery Store,Plaza,Gym Pool,Building,Supermarket,Sushi Restaurant,Fast Food Restaurant,Tapas Restaurant,Falafel Restaurant
Vila de Gràcia,Plaza,Bar,Mediterranean Restaurant,Bakery,Pizza Place,Spanish Restaurant,Ice Cream Shop,Arts & Crafts Store,Restaurant,Cocktail Bar
Vilapicina i La Torre Llobeta,Plaza,Supermarket,Tapas Restaurant,Grocery Store,Asian Restaurant,Food & Drink Shop,Café,Bar,Bakery,Gym
